ID;session;trial;response;outcome;mean;sd
20;3;194;25;35;31;15
20;3;195;29;40;31;15
20;3;196;39;28;31;15
20;3;197;25;45;31;15
20;3;198;31;39;31;15
20;3;199;28;42;31;15
20;3;200;34;41;31;15
20;3;201;37;44;31;15
20;3;202;34;18;17;5
20;3;203;18;9;17;5
20;3;204;11;21;17;5
20;3;205;21;11;17;5
20;3;206;17;15;17;5
20;3;207;16;17;17;5
20;3;208;17;18;17;5
20;3;209;17;19;17;5
20;3;210;14;2;17;5
20;3;211;10;82;73;15
20;3;212;30;78;73;15
20;3;213;47;54;73;15
20;3;214;61;51;73;15
20;3;215;56;66;73;15
20;3;216;62;77;73;15
20;3;217;67;64;73;15
20;3;218;65;89;73;15
20;3;219;74;95;73;15
20;3;220;84;79;73;15
20;3;221;78;96;73;15
20;3;222;82;71;73;15
20;3;223;72;71;73;15
20;3;224;76;82;73;15
20;3;225;80;92;73;15
20;3;226;78;80;73;15
20;3;227;76;66;73;15
20;3;228;69;66;73;15
20;3;229;70;54;73;15
20;3;230;57;95;73;15
20;3;231;59;82;73;15
20;3;232;79;68;73;15
20;3;233;77;59;73;15
20;3;234;72;96;73;15
20;3;235;91;56;73;15
20;3;236;12;86;73;15
20;3;237;90;83;73;15
20;3;238;80;84;73;15
20;3;239;85;71;73;15
20;3;240;83;66;73;15
20;4;1;26;40;39;5
20;4;2;43;35;39;5
20;4;3;35;32;39;5
20;4;4;32;41;39;5
20;4;5;29;22;24;5
20;4;6;26;26;24;5
20;4;7;26;28;24;5
20;4;8;28;23;24;5
20;4;9;20;23;24;5
20;4;10;25;31;24;5
20;4;11;26;18;24;5
20;4;12;15;19;24;5
20;4;13;23;24;24;5
20;4;14;25;25;24;5
20;4;15;22;67;34;15
20;4;16;67;36;34;15
20;4;17;71;38;34;15
20;4;18;28;33;34;15
20;4;19;27;39;34;15
20;4;20;27;32;34;15
20;4;21;28;44;34;15
20;4;22;31;39;34;15
20;4;23;31;21;34;15
20;4;24;22;43;44;15
20;4;25;39;38;44;15
20;4;26;39;57;44;15
20;4;27;54;59;44;15
20;4;28;61;40;44;15
20;4;29;38;91;87;5
20;4;30;79;97;87;5
20;4;31;93;87;87;5
20;4;32;87;82;87;5
20;4;33;83;87;87;5
20;4;34;89;86;87;5
20;4;35;85;84;87;5
20;4;36;84;93;87;5
20;4;37;95;84;87;5
20;4;38;33;80;87;5
20;4;39;74;87;87;5
20;4;40;83;87;87;5
20;4;41;89;90;87;5
20;4;42;91;81;87;5
20;4;43;85;48;63;15
20;4;44;48;83;63;15
20;4;45;79;66;63;15
20;4;46;76;44;63;15
20;4;47;62;47;63;15
20;4;48;46;73;63;15
20;4;49;81;68;63;15
20;4;50;59;78;63;15
20;4;51;73;43;63;15
20;4;52;32;65;63;15
20;4;53;64;71;63;15
20;4;54;66;65;63;15
20;4;55;69;67;63;15
20;4;56;69;49;63;15
20;4;57;50;66;63;15
20;4;58;67;76;63;15
